Modified.sequence	m/z	Retention time	Group	Use	RawFile	Intensity	Proteins	Charge
100.1/2.9	100.0964	2.86	""	TRUE	H5LungInf3d-1	6917	100.1/2.9	1
101.1/0.5	101.0543	0.47	""	TRUE	H5LungInf3d-1	13128	101.1/0.5	1
101.1/23.1	101.0543	23.08	""	TRUE	H5LungInf3d-1	3662	101.1/23.1	1
101.1/5.0	101.0693	5.02	""	TRUE	H5LungInf3d-1	1878	101.1/5.0	1
104.0/0.4	103.9642	0.38	""	TRUE	H5LungInf3d-1	172	104.0/0.4	1
104.1/7.1	104.0884	7.08	""	TRUE	H5LungInf3d-1	339	104.1/7.1	1
104.1/4.8	104.0904	4.75	(Monoisotopic)	TRUE	H5LungInf3d-1	357008	104.1/4.8	1
104.1/6.8	104.0906	6.84	(Monoisotopic)	TRUE	H5LungInf3d-1	580974	104.1/6.8	1
104.1/3.7	104.0906	3.67	(Monoisotopic)	TRUE	H5LungInf3d-1	400293	104.1/3.7	1
104.1/4.5	104.1074	4.49	""	TRUE	H5LungInf3d-1	218737	104.1/4.5	1
104.1/0.4	104.1154	0.38	""	TRUE	H5LungInf3d-1	1220	104.1/0.4	1
105.0/4.9	104.9753	4.93	""	TRUE	H5LungInf3d-1	1857	105.0/4.9	1
105.0/8.7	104.9762	8.74	""	TRUE	H5LungInf3d-1	235817	105.0/8.7	1
105.0/8.7	104.9918	8.68	""	TRUE	H5LungInf3d-1	150737	105.0/8.7	1
105.0/8.2	104.9919	8.2	""	TRUE	H5LungInf3d-1	109302	105.0/8.2	1
105.1/6.8	105.0938	6.85	""	TRUE	H5LungInf3d-1	91	105.1/6.8	1
106.9/9.0	106.9349	9.03	""	TRUE	H5LungInf3d-1	0	106.9/9.0	1
108.0/9.8	107.9928	9.84	""	TRUE	H5LungInf3d-1	4294	108.0/9.8	1
112.9/9.2	112.8754	9.24	""	TRUE	H5LungInf3d-1	0	112.9/9.2	1
113.1/20.8	113.0893	20.77	""	TRUE	H5LungInf3d-1	18480	113.1/20.8	1
113.1/20.9	113.0896	20.94	(Monoisotopic)	TRUE	H5LungInf3d-1	31668	113.1/20.9	1
114.1/4.9	114.0902	4.93	""	TRUE	H5LungInf3d-1	4063	114.1/4.9	1
114.1/4.4	114.0907	4.4	""	TRUE	H5LungInf3d-1	39134	114.1/4.4	1
115.1/5.1	115.0859	5.13	""	TRUE	H5LungInf3d-1	3238	115.1/5.1	1
115.1/3.3	115.0871	3.31	""	TRUE	H5LungInf3d-1	7088	115.1/3.3	1
116.0/9.4	116.0136	9.39	""	TRUE	H5LungInf3d-1	0	116.0/9.4	1
116.1/9.9	116.0505	9.93	""	TRUE	H5LungInf3d-1	9053	116.1/9.9	1
118.1/9.5	118.066	9.48	(Monoisotopic)	TRUE	H5LungInf3d-1	146875	118.1/9.5	1
118.1/10.3	118.0664	10.3	""	TRUE	H5LungInf3d-1	0	118.1/10.3	1
118.1/7.3	118.1002	7.25	""	TRUE	H5LungInf3d-1	23	118.1/7.3	1
118.1/5.5	118.1027	5.49	(Monoisotopic)	TRUE	H5LungInf3d-1	36223	118.1/5.5	1
118.1/3.4	118.1032	3.4	""	TRUE	H5LungInf3d-1	129626	118.1/3.4	1
118.1/6.6	118.1032	6.55	""	TRUE	H5LungInf3d-1	36508	118.1/6.6	1
118.1/22.7	118.1217	22.66	""	TRUE	H5LungInf3d-1	14552	118.1/22.7	1
118.1/10.9	118.1219	10.89	""	TRUE	H5LungInf3d-1	2642	118.1/10.9	1
118.1/5.1	118.122	5.12	""	TRUE	H5LungInf3d-1	10666	118.1/5.1	1
118.1/0.4	118.1317	0.38	(Monoisotopic)	TRUE	H5LungInf3d-1	58346	118.1/0.4	1
119.1/3.9	119.0653	3.94	""	TRUE	H5LungInf3d-1	58225	119.1/3.9	1
120.1/9.3	120.0605	9.3	(Monoisotopic)	TRUE	H5LungInf3d-1	3579	120.1/9.3	1
122.1/23.1	122.0509	23.09	""	TRUE	H5LungInf3d-1	9489	122.1/23.1	1
122.1/1.1	122.0763	1.12	(Monoisotopic)	TRUE	H5LungInf3d-1	33903	122.1/1.1	1
122.1/6.6	122.0764	6.55	""	TRUE	H5LungInf3d-1	1514	122.1/6.6	1
122.9/9.1	122.9041	9.12	""	TRUE	H5LungInf3d-1	0	122.9/9.1	1
123.0/9.4	123.0332	9.4	""	TRUE	H5LungInf3d-1	81	123.0/9.4	1
123.0/4.8	123.0343	4.84	""	TRUE	H5LungInf3d-1	69093	123.0/4.8	1
123.1/0.1	123.0789	0.06	""	TRUE	H5LungInf3d-1	13367	123.1/0.1	1
124.0/9.7	124.0036	9.71	""	TRUE	H5LungInf3d-1	11068	124.0/9.7	1
124.1/0.1	124.0636	0.07	(Monoisotopic)	TRUE	H5LungInf3d-1	15655	124.1/0.1	1
124.1/6.3	124.0636	6.25	""	TRUE	H5LungInf3d-1	2598	124.1/6.3	1
124.1/2.2	124.0636	2.19	""	TRUE	H5LungInf3d-1	817	124.1/2.2	1
124.1/0.6	124.0637	0.65	""	TRUE	H5LungInf3d-1	7148	124.1/0.6	1
124.1/23.1	124.0638	23.1	(Monoisotopic)	TRUE	H5LungInf3d-1	3711	124.1/23.1	1
124.1/21.7	124.0639	21.74	(Monoisotopic)	TRUE	H5LungInf3d-1	2131	124.1/21.7	1
124.1/18.4	124.0639	18.44	(Monoisotopic)	TRUE	H5LungInf3d-1	156	124.1/18.4	1
124.1/9.4	124.0865	9.37	(Monoisotopic)	TRUE	H5LungInf3d-1	3789	124.1/9.4	1
126.0/9.9	125.999	9.88	(Monoisotopic)	TRUE	H5LungInf3d-1	299628	126.0/9.9	1
126.0/10.5	126.0218	10.46	""	TRUE	H5LungInf3d-1	13967	126.0/10.5	1
126.1/5.2	126.0802	5.22	""	TRUE	H5LungInf3d-1	31948	126.1/5.2	1
126.1/5.9	126.0811	5.93	""	TRUE	H5LungInf3d-1	105	126.1/5.9	1
126.1/21.4	126.0812	21.41	""	TRUE	H5LungInf3d-1	21966	126.1/21.4	1
126.1/6.9	126.0814	6.85	""	TRUE	H5LungInf3d-1	600	126.1/6.9	1
126.1/7.1	126.0815	7.13	""	TRUE	H5LungInf3d-1	128	126.1/7.1	1
126.1/0.4	126.0817	0.38	(Monoisotopic)	TRUE	H5LungInf3d-1	105598	126.1/0.4	1
126.1/9.5	126.0819	9.53	""	TRUE	H5LungInf3d-1	25309	126.1/9.5	1
126.1/1.2	126.1011	1.21	(Monoisotopic)	TRUE	H5LungInf3d-1	39615	126.1/1.2	1
