Protein	H5LungInf3d-H5LungPBS4d_log2FC	H5LungInf3d-H5LungPBS4d_adj.pvalue	H5LungInf4d-H5LungPBS4d_log2FC	H5LungInf4d-H5LungPBS4d_adj.pvalue
100.1/2.9	0.082379484807505	0.99997651208131	0.173480655890949	0.779130213440421
101.1/0.5	0.365533002310677	0.99997651208131	0.507717708790089	0.556673622530737
101.1/23.1	0.38300267779669	0.99997651208131	0.410915541613162	0.549806939109665
101.1/5.0	-0.762462155109757	0.99997651208131	-0.405713971779075	0.789461227940147
104.0/0.4	0.779148710256839	0.99997651208131	-0.959007312859457	0.461564733529114
104.1/0.4	0.0824548251074854	0.99997651208131	0.568021767535617	0.760393110396446
104.1/3.7	2.58268273800641	0.99997651208131	-0.355740588032241	0.946019330041502
104.1/4.5	2.94458170116102	0.99997651208131	-0.570036397079614	0.9012648222835
104.1/4.8	-0.170676772836086	0.99997651208131	0.378192119023277	0.793330489448654
104.1/6.8	-0.456308128942956	0.99997651208131	0.542650332789002	0.613958342941292
104.1/7.1	-1.68249334307959	0.417171661176982	0.392942075067313	0.763867977296546
105.0/4.9	1.42974225905963	0.99997651208131	-1.01105213180998	0.788775197818965
105.0/8.2	-0.256219059380608	0.99997651208131	0.240049232914103	0.873582338328403
105.0/8.7	-0.150490633152269	0.99997651208131	0.164700797820056	0.88769314364626
105.1/6.8	-0.146340499152545	0.99997651208131	0.539085997190482	0.704197098339728
106.9/9.0	Inf	0	Inf	0
108.0/9.8	-0.298761940199769	0.99997651208131	0.424420214623969	0.326208612569823
112.9/9.2	-Inf	0	0.680314156465055	0.892581750830004
113.1/20.8	-0.218219834447874	0.99997651208131	-0.296067964189261	0.75526089486378
113.1/20.9	-0.193427493983679	0.99997651208131	-0.278574657401535	0.751373031177115
114.1/4.4	-0.109772762628611	0.99997651208131	-0.133698992153976	0.833160388401671
114.1/4.9	-0.859208322311621	0.960506439438017	-0.475361391723477	0.668326952682462
115.1/3.3	-0.198619835617658	0.99997651208131	-0.197674736578282	0.837243368087332
115.1/5.1	-1.07114177345939	0.99997651208131	-0.509451288091567	0.741435167004482
116.0/9.4	-0.937576839977731	0.99997651208131	-0.048680604290614	0.99694255866291
116.1/9.9	0.384564813423614	0.944875989780519	0.636880946390028	0.0832672568586948
118.1/0.4	-0.0454194425742198	0.99997651208131	-0.125630060956725	0.826241168551495
118.1/10.3	0.312083472987549	0.99997651208131	0.647914578181158	0.654346410508983
118.1/10.9	-0.0518989729668382	0.99997651208131	0.195462018695028	0.84595382824241
118.1/22.7	-0.22181166503506	0.99997651208131	-0.172764922979104	0.852736860886145
118.1/3.4	0.11474301622881	0.99997651208131	-0.253237875997702	0.73425205687972
118.1/5.1	-1.38338108599703	0.765046533570611	-0.655744712476787	0.669591274495702
118.1/5.5	-0.645608282477715	0.99997651208131	-0.300128675205868	0.837924183818263
118.1/6.6	-0.338396952572477	0.99997651208131	-0.0289301125616144	0.982591881760888
118.1/7.3	-0.293111425568828	0.99997651208131	0.442568716656478	0.778200556749416
118.1/9.5	-0.582780734967406	0.862110725984443	-0.00365794289818988	0.997459321886845
119.1/3.9	-0.170541203294227	0.99997651208131	-0.0636060325600349	0.924037660553921
120.1/9.3	0.188800238364494	0.99997651208131	0.213810666413987	0.779130213440421
122.1/1.1	0.000878944138827942	0.99997651208131	0.247324203104897	0.665804429304355
122.1/23.1	-0.0432285644372942	0.99997651208131	0.0678275681438526	0.923222069032495
122.1/6.6	-0.277383430889846	0.99997651208131	0.206001536929611	0.799253495811048
122.9/9.1	Inf	0		
123.0/4.8	-1.28563377026758	0.576238064209131	0.903503375451491	0.401117341481767
123.0/9.4	Inf	0	Inf	0
123.1/0.1	0.225714746467456	0.99997651208131	0.773585021482094	0.199681403186935
124.0/9.7	-0.377096760748131	0.99997651208131	0.0545127580632699	0.938217412896603
124.1/0.1	0.259654947833346	0.99997651208131	0.662959308710498	0.564381744359537
124.1/0.6	-0.072342846709325	0.99997651208131	0.100633578141499	0.932639671074179
124.1/18.4	-0.230135195496204	0.99997651208131	-0.00160982028100509	0.999572319075838
124.1/2.2	-0.457065677357877	0.99997651208131	0.312456960062946	0.793035031871873
124.1/21.7	-0.203485450554341	0.99997651208131	0.259119358875315	0.831733935332976
124.1/23.1	0.0195636720864161	0.99997651208131	0.264453663261594	0.81371329749601
124.1/6.3	-0.78291113356133	0.796819799137552	0.901932933986017	0.236739535928771
124.1/9.4	0.103345611913709	0.99997651208131	3.34748394278371	0.000406543755177307
126.0/10.5	0.208844194488986	0.99997651208131	0.629252624158851	0.537358847399899
126.0/9.9	-0.019335269470999	0.99997651208131	0.491224286862879	0.326208612569823
126.1/0.4	0.134251604966487	0.99997651208131	-0.20871094782058	0.721300927466043
126.1/1.2	-0.0630949889285563	0.99997651208131	-0.0822497887829392	0.909825303282156
126.1/21.4	-0.0272773021659041	0.99997651208131	-0.20081078347776	0.790082744094484
126.1/5.2	-0.196776934473502	0.99997651208131	-0.407960327928526	0.700615243470743
126.1/5.9	0.0445953778715653	0.99997651208131	-0.0578600977705461	0.976412878292141
126.1/6.9	-0.0287237886460057	0.99997651208131	-0.113533352391341	0.925221731634064
126.1/7.1	0.474717235425631	0.99997651208131	0.303241250053881	0.817279274971753
126.1/9.5	0.0755868294063479	0.99997651208131	-0.78516909848616	0.52288349101299
127.0/5.5	-0.672413204988485	0.99997651208131	0.0211797293372722	0.989753483181899
127.1/20.9	-0.0041270597601985	0.99997651208131	-0.0747497633657053	0.931438768090934
127.1/5.1	-0.663151872642719	0.99997651208131	-0.662038720942775	0.491404150487446
127.1/6.4	-0.499792697001322	0.99997651208131	-0.015890624215236	0.993496968711981
128.0/9.9	-0.0269791066832382	0.99997651208131	0.502494472305413	0.338882792776059
128.1/9.5	0.0218834668042694	0.99997651208131	-0.617715964905637	0.570896195003862
129.1/20.8	-0.0459907953148114	0.99997651208131	-0.0533760703730224	0.955537280562223
130.0/10.0	1.02320528819062	0.195354837057974	0.682817520416639	0.245818940070331
130.1/20.9	0.0874298149047341	0.99997651208131	-0.0502316880756881	0.970559123548444
130.1/5.3	-0.703484107225003	0.99997651208131	-0.794474436487364	0.440434785555096
130.1/9.4	0.574232279339488	0.99997651208131	-0.0191230162014979	0.991536315656053
130.1/9.6	0.0686785265667406	0.99997651208131	-0.708519230420562	0.391563072753809
130.2/2.5	-0.183218007665977	0.99997651208131	1.36971103745524	0.27981137926415
132.1/10.0	0.61156275714204	0.957021809657297	0.7912433275671	0.240024678172543
132.1/10.3	0.934563650976718	0.546732682807288	0.728826205396818	0.310355662600957
132.1/9.4	0.317437112322278	0.99997651208131	-0.214595922977384	0.748993643515528
133.1/4.8	-0.838288795887998	0.831441580575209	0.000646374617196632	0.999572319075838
134.0/9.4	1.38092490189829	0.99997651208131	-3.8289997990937	0.0164757454421865
134.1/3.6	-0.335092648373743	0.99997651208131	-0.15701515820676	0.925382156685601
134.1/9.5	0.411419651954068	0.99997651208131	-0.60361758820977	0.738430066545885
135.0/0.1	0.0335670913792595	0.99997651208131	-0.308247970393436	0.495195546197119
135.0/0.7	-0.083603741180111	0.99997651208131	-0.222770008866188	0.656978601187894
135.0/20.9	-0.236328786177879	0.99997651208131	-0.330066811591339	0.733661388133936
135.0/5.3	-0.151573573895225	0.99997651208131	-0.496703111867196	0.663738383651148
135.0/7.6	0.0338729909062803	0.99997651208131	0.00123730496905594	0.999572319075838
135.1/3.9	-0.114256249467417	0.99997651208131	0.016842127747548	0.982591881760888
136.0/10.0	0.161786149833116	0.99997651208131	0.154527747356861	0.859619398000044
136.0/21.0	-0.26655166000945	0.99997651208131	-0.0173383460425512	0.990742762965536
136.0/23.4	0.638301567331115	0.99997651208131	-0.00333649037244077	0.999175428844733
136.0/23.8	0.842402378525672	0.99997651208131	0.428054662468578	0.748993643515528
136.0/7.6	1.87194833023549	0.521444260373769	0.915124228211962	0.537358847399899
136.0/9.3	0.464889175026084	0.99997651208131	-Inf	0
136.1/5.3	-0.228160175374191	0.99997651208131	0.898354410571037	0.199681403186935
136.1/8.6	0.157740144115335	0.99997651208131	1.06301402686696	0.0610070436617006
136.6/20.9	-0.268701437518748	0.99997651208131	-0.323274477819796	0.741435167004482
136.9/10.8	-0.305162927964168	0.99997651208131	-0.98458602434778	0.690949693006477
136.9/9.2	0.034515251769876	0.99997651208131	2.04231100832738	0.442612995443105
137.0/4.0	-0.741443518052882	0.99997651208131	-0.246682529976982	0.88769314364626
137.0/4.7	0.0694159589025685	0.99997651208131	0.330901147463802	0.57931285777705
