experiment_id	omics_type	condition_2	cell_line	strain	entrez_id	symbol	q_value	log2fc
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	97	ACYP1	0.980637	0.0363203
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	98	ACYP2	0.912727	-0.110161
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	128	ADH5	0.637924	-0.197104
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	142	PARP1	0.966326	-0.0283088
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	143	PARP4	0.929088	-0.0548766
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	158	ADSL	0.756336	-0.148901
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	159	ADSS	0.58173	-0.236375
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	175	AGA	1	0
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	175	AGA	0.783191	-0.172437
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	191	AHCY	0.863439	0.0949583
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	217	ALDH2	0.705719	-0.177637
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	219	ALDH1B1	0.990719	-0.00832716
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	223	ALDH9A1	0.385528	-0.308701
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	224	ALDH3A2	0.400286	-0.304233
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	314	AOC2	1	0.207663
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	440	ASNS	0.000883499	-0.889967
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	445	ASS1	0.267902	-0.398936
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	501	ALDH7A1	0.459016	-0.274447
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	683	BST1	1	-0.83415
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	875	CBS	0.105948	-0.603505
htbeH3N2rna-HTBE	RNAseq	H3N2_03H	HTBE	H3	883	KYAT1	0.981174	-0.0221313
