id	name	kegg_id	origin	weight
HMDB00001	1-Methylhistidine	C01152	Endogenous	169.085126611
HMDB00002	1,3-Diaminopropane	C00986	Endogenous	74.08439833
HMDB00005	2-Ketobutyric acid	C00109	Endogenous	102.031694058
HMDB00008	2-Hydroxybutyric acid	C05984	Endogenous	104.047344122
HMDB00010	2-Methoxyestrone	C05299	Endogenous	300.172544634
HMDB00011	(R)-3-Hydroxybutyric acid	C01089	Endogenous	104.047344122
HMDB00012	Deoxyuridine	C00526	Endogenous	228.074621504
HMDB00014	Deoxycytidine	C00881	Endogenous	227.090605919
HMDB00015	Cortexolone	C05488	Endogenous	346.214409448
HMDB00016	Deoxycorticosterone	C03205	Endogenous	330.219494826
HMDB00017	4-Pyridoxic acid	C00847	Endogenous	183.053157781
HMDB00019	Alpha-ketoisovaleric acid	C00141	Endogenous	116.047344122
HMDB00021	Iodotyrosine	C02515	Endogenous	306.970536611
HMDB00022	3-Methoxytyramine	C05587	Endogenous	167.094628665
HMDB00023	(S)-3-Hydroxyisobutyric acid	C06001	Endogenous	104.047344122
HMDB00024	3-O-Sulfogalactosylceramide (d18:1/24:0)	C06125	Endogenous	891.646933513
HMDB00026	Ureidopropionic acid	C02642	Endogenous	132.053492132
HMDB00027	Tetrahydrobiopterin	C00272	Endogenous	241.117489371
HMDB00031	Androsterone	C00523	Endogenous	290.224580204
HMDB00032	7-Dehydrocholesterol	C01164	Endogenous	384.33921603
HMDB00033	Carnosine	C00386	Endogenous	226.106590334
HMDB00034	Adenine	C00147	Endogenous	135.054495185
HMDB00036	Taurocholic acid	C05122	Endogenous	515.291673489
HMDB00037	Aldosterone	C01780	Endogenous	360.193674006
HMDB00038	Dihydrobiopterin	C02953	Endogenous	239.101839307
HMDB00039	Butyric acid	C00246	Endogenous	88.0524295
HMDB00043	Betaine	C00719	Endogenous	117.078978601
HMDB00050	Adenosine	C00212	Endogenous	267.096753929
HMDB00051	Ammonia	C00014	Endogenous	17.026549101
HMDB00052	Argininosuccinic acid	C03406	Endogenous	290.122634328
HMDB00053	Androstenedione	C00280	Endogenous	286.193280076
HMDB00054	Bilirubin	C00486	Endogenous	584.263484904
HMDB00056	Beta-Alanine	C00099	Endogenous	89.047678473
HMDB00058	Cyclic AMP	C00575	Endogenous	329.052519653
HMDB00060	Acetoacetic acid	C00164	Endogenous	102.031694058
HMDB00061	Adenosine 3',5'-diphosphate	C00054	Endogenous	427.029414749
HMDB00062	L-Carnitine	C15025	Endogenous	161.105193351
HMDB00063	Cortisol	C00735	Endogenous	362.20932407
HMDB00064	Creatine	C00300	Endogenous	131.069476547
HMDB00067	Cholesterol	C00187	Endogenous	386.354866094
HMDB00068	Epinephrine	C00788	Endogenous	183.089543287
HMDB00070	Pipecolic acid	C00408	Endogenous	129.078978601
HMDB00071	Deoxyinosine	C05512	Endogenous	252.085854892
HMDB00072	cis-Aconitic acid	C00417	Endogenous	174.016437924
HMDB00073	Dopamine	C03758	Endogenous	153.078978601
HMDB00076	Dihydrouracil	C00429	Endogenous	114.042927446
HMDB00077	Dehydroepiandrosterone	C01227	Endogenous	288.20893014
HMDB00078	Cysteinylglycine	C01419	Endogenous	178.041212886
HMDB00079	Dihydrothymine	C00906	Endogenous	128.05857751
HMDB00082	Cytidine triphosphate	C00063	Endogenous	482.984511771
HMDB00085	Deoxyguanosine	C00330	Endogenous	267.096753929
HMDB00086	Glycerophosphocholine	C00670	Endogenous	257.102823889
HMDB00087	Dimethylamine	C00543	Endogenous	45.057849229
HMDB00089	Cytidine	C00475	Endogenous	243.085520541
HMDB00092	Dimethylglycine	C01026	Endogenous	103.063328537
HMDB00094	Citric acid	C00158	Endogenous	192.02700261
HMDB00095	Cytidine monophosphate	C00055	Endogenous	323.051850951
HMDB00098	D-Xylose	C00181	Endogenous	150.05282343
HMDB00101	Deoxyadenosine	C00559	Endogenous	251.101839307
HMDB00107	Galactitol	C01697	Endogenous	182.07903818
HMDB00112	Gamma-Aminobutyric acid	C00334	Endogenous	103.063328537
HMDB00114	Glycerylphosphorylethanolamine	C01233	Endogenous	215.055873697
HMDB00115	Glycolic acid	C00160	Endogenous	76.016043994
HMDB00118	Homovanillic acid	C05582	Endogenous	182.057908808
HMDB00119	Glyoxylic acid	C00048	Endogenous	74.00039393
HMDB00122	D-Glucose	C00031	Endogenous	180.063388116
HMDB00123	Glycine	C00037	Endogenous	75.032028409
